primary_key,country,iso_code,population,population_density,median_age,gdp_per_capita,date_minGR,date_maxGR,date_firstNC,date_maxNC,date_maxND,date_3mnthAfter,interval_GRRamp,interval_GRToFirstNC,interval_firstNCToMaxNC,interval_firstNCToMaxND,interval_maxNCToMaxND,index_MaxGR,index_avgMaxGRStartApr1,change_GRRamp,index_string,index_health,index_econ,value_maxNC,value_maxND,value_NC_3mnth,value_TC_3mnth,value_ND_3mnth,value_TD_3mnth,percent_maxNC,percent_maxND,percent_NC_3mnth,percent_ND_3mnth,percent_TC_3mnth,percent_TD_3mnth,percent_newTestsMean,value_totTestsSlope,mobil_residential,mobil_outdoors,mobil_retailRecreation,mobil_parks,mobil_GroceryPharmacy,mobil_transitStations,mobil_workplaces,C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gatherings,C4_Flag,C5_Close public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,E1_Income support,E1_Flag,E2_Debt/contract relief,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H5_Investment in vaccines,E3_Fiscal measures,E4_International support,H4_Emergency investment in healthcare
BRA2020-08-31,Brazil,BRA,212559409.0,25.04,33.5,,2020-03-12,2020-05-25,2020-02-26,2020-07-30,2020-07-30,2020-03-27,74,-15,140,155,0,68.91,65.00274509803913,54.91,75.91666666666694,67.76065359477134,49.83660130718954,69074.0,1595.0,482.0,2915.0,20.0,77.0,0.032496326709301304,0.0007503784506664676,0.00022676013368102657,9.409134177635956e-06,0.0013713813063904409,3.6225166583898436e-05,0.0,0.0,14.508333333333333,-37.30468253968254,-51.224603174603175,-45.41904761904761,-11.886111111111116,-50.64246031746032,-27.35119047619048,3.0,0.0,3.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,127000000.0,185820699472.27,0.0,6241338943.419999
BRN2020-08-31,Brunei,BRN,437483.0,81.347,32.4,,2020-03-10,2020-04-11,2020-03-10,2020-03-13,2020-03-29,2020-04-09,32,0,3,19,16,51.28,44.66647058823523,37.28,48.77581699346396,50.515424836601326,12.5,14.0,1.0,0.0,135.0,0.0,1.0,0.003200124347688939,0.00022858031054920992,0.0,0.0,0.03085834192414334,0.00022858031054920992,0.0,0.0,,,,,,,,3.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,314000000.0,0.0,7686929.0
BGR2020-08-31,Bulgaria,BGR,6948445.0,65.18,44.7,,2020-03-08,2020-04-29,2020-03-08,2020-08-27,2020-08-27,2020-04-07,52,0,172,172,0,74.36,52.57673202614377,60.36,47.386797385620916,49.22745098039216,70.9967320261438,365.0,23.0,18.0,549.0,2.0,22.0,0.005252973866814806,0.0003310093121554535,0.00025905076603470267,2.8783418448300304e-05,0.007901048364058433,0.0003166176029313033,0.0,0.0,9.715852989577618,-23.734200234774555,-35.08869272803699,-5.393617021276596,-13.50785123966942,-36.79003558718861,-27.89080459770115,3.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,4.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,5921328915.6,0.0,235030693.26
BFA2020-08-31,Burkina Faso,BFA,20903278.0,70.15100000000001,17.6,,2020-03-12,2020-05-04,2020-03-11,2020-04-06,2020-03-29,2020-04-10,53,-1,25,18,-8,72.44,50.52895424836606,58.44,58.17052287581688,59.71359477124179,0.0,43.0,6.0,29.0,443.0,1.0,24.0,0.00020570936290470804,2.870363203321508e-05,0.0001387342214938729,4.783938672202514e-06,0.0021192848317857127,0.00011481452813286032,0.0,0.0,11.63679245283019,-16.16822371489878,-18.35185185185185,-17.005555555555556,-10.607407407407408,-28.825925925925933,-6.050377833753148,3.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,15234800.0
BDI2020-08-31,Burundi,BDI,11890781.0,423.062,17.5,,2020-04-01,2020-04-14,2020-04-01,2020-06-21,2020-04-15,2020-05-01,13,0,81,14,-67,33.33,26.477777777777792,19.33,26.869346405228754,31.294248366013075,0.0,40.0,1.0,0.0,15.0,0.0,1.0,0.00033639506101407467,8.409876525351869e-06,0.0,0.0,0.000126148147880278,8.409876525351869e-06,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
KHM2020-08-31,Cambodia,KHM,16718971.0,90.672,25.6,,2020-03-13,2020-04-09,2020-01-28,2020-03-23,2020-01-01,2020-02-27,27,-45,10,-27,-82,53.85,43.59588235294136,39.85,48.10705882352947,46.9359477124184,25.245098039215694,35.0,0.0,0.0,1.0,0.0,0.0,0.0002093430271516112,0.0,0.0,0.0,5.981229347188892e-06,0.0,0.0,0.0,10.337228714524207,-23.160104164696175,-23.83627906976745,-16.62748344370861,-16.551362683438153,-41.254927726675426,-17.530467899891185,3.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,501000000.0,0.0,0.0
CMR2020-08-31,Cameroon,CMR,26545864.0,50.885,18.8,,2020-03-18,2020-04-18,2020-03-07,2020-07-06,2020-06-13,2020-04-06,31,-11,110,98,-23,58.33,55.28006535947704,44.33,62.59137254901948,61.617777777777995,20.424836601307188,1119.0,59.0,95.0,650.0,0.0,9.0,0.004215345938636618,0.00022225684573687265,0.00035787119228818467,0.0,0.00244859236828758,3.390358663782803e-05,0.0005294431673344471,0.18616642300194933,9.480825958702065,-14.576934221007356,-19.66216216216216,-19.053627760252365,-9.502912621359224,-18.117449664429525,-6.548518896833505,3.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1670000.0
CAN2020-08-31,Canada,CAN,37742157.0,4.037,41.4,,2020-03-11,2020-04-01,2020-01-26,2020-05-04,2020-06-01,2020-02-25,21,-45,54,127,28,74.68,71.89444444444429,60.68000000000001,69.35052287581686,71.3295424836602,75.0,2760.0,222.0,2.0,11.0,0.0,0.0,0.00731277759244126,0.0005882016759137535,5.299114197421202e-06,0.0,2.9145128085816608e-05,0.0,0.0,0.0,15.445482866043616,-21.66971928105649,-36.04826958105647,30.545964125560538,-10.596928982725528,-52.20803295571576,-40.04132901134522,3.0,1.0,3.0,1.0,2.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,4.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,600000000.0,55927067709.35,30000000.0,573040423.6800001
CPV2020-08-31,Cape Verde,CPV,555988.0,135.58,25.7,,2020-03-21,2020-05-18,2020-03-21,2020-07-13,2020-07-01,2020-04-20,58,0,114,102,-12,81.73,77.40013071895397,67.73,76.64091503267974,77.8363398692809,75.0,107.0,3.0,3.0,61.0,0.0,1.0,0.01924501967668367,0.0005395799909350561,0.0005395799909350561,0.0,0.010971459815679476,0.00017985999697835205,0.004843449858630043,0.05338225600461418,20.845070422535212,-53.586988044518826,-56.60797342192691,-55.691176470588225,-35.523012552301246,-75.21,-44.90277777777778,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,258392.25,0.0,4311831.77
CAF2020-08-31,Central African Republic,CAF,4829764.0,7.479,18.3,,2020-03-26,2020-05-08,2020-03-16,2020-06-09,2020-06-23,2020-04-15,43,-10,75,99,14,62.82,54.51313725490197,48.82,64.8572549019607,59.87980392156866,25.0,216.0,7.0,0.0,11.0,0.0,0.0,0.004472268210206544,0.00014493461792336023,0.0,0.0,0.00022775439959385176,0.0,0.0,0.0,,,,,,,,3.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,4.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,111699760.0,0.0,0.0
