country,primary_key,iso_code,population,population_density,median_age,gdp_per_capita,interval_GRRamp,interval_GRToFirstNC,interval_firstNCToMaxNC,interval_firstNCToMaxND,index_MaxGR,index_avgMaxGRStartApr1,change_GRRamp,index_string,index_health,index_econ,value_maxNC,value_maxND,value_NC_3mnth,value_TC_3mnth,value_ND_3mnth,value_TD_3mnth,percent_maxNC,percent_maxND,percent_NC_3mnth,percent_ND_3mnth,percent_TC_3mnth,percent_TD_3mnth,percent_newTestsMean,value_totTestsSlope,mobil_residential,mobil_outdoors,mobil_retailRecreation,mobil_parks,mobil_GroceryPharmacy,mobil_transitStations,mobil_workplaces,PC 1,PC 2,PC 3,Class,logPercent_maxND,logPercent_NC_3mnth,logPercent_ND_3mnth,logPercent_TD_3mnth,logPercent_TC_3mnth,logPercent_maxNC,logInterval_maxNC,logInterval_maxND
Bangladesh,BGD2020-08-31,BGD,164689383.0,1265.036,27.5,3523.9840000000013,40,5,121,114,85.26,73.92751633986961,71.26,81.68973856209163,77.44411764705866,54.57516339869281,4019.0,64.0,41.0,164.0,5.0,17.0,0.00244035160420754,3.886103574751993e-05,2.489535102575496e-05,3.036018417774994e-06,9.95814041030198e-05,1.0322462620434979e-05,2.0250763306859398e-05,0.03859807892702338,17.233333333333334,-39.16444444444445,-52.511111111111106,-24.25555555555556,-33.78888888888889,-49.05555555555557,-36.21111111111111,2.076213498217257,-1.221131752691095,-0.1072736687700613,2,-4.410485628506231,-2.8532239102118315,-4.980371774408804,-3.2984393175443896,-4.001821754442418,-2.6125475962980818,2.0827853703164503,2.0569048513364727
Barbados,BRB2020-08-31,BRB,287371.0,664.4630000000002,39.8,0.0,32,0,137,19,80.13,66.00869281045762,66.13,68.53078431372548,70.86679738562087,39.29738562091503,12.0,1.0,0.0,75.0,0.0,5.0,0.0041757867008153215,0.00034798222506794355,0.0,0.0,0.026098666880095763,0.0017399111253397178,0.0,0.0,20.814285714285713,-52.10202528987453,-55.55882352941178,-45.99290780141844,-37.842767295597476,-67.20370370370371,-53.91192411924119,2.985760806889591,1.3321767902360373,-0.7259089774944522,2,-3.4584429392490006,-3.6444332956530423,-5.5049459851265246,-5.083617198258508,-1.5833816758573007,-2.379261693201376,2.1367205671564067,1.2787536009528289
Belarus,BLR2020-08-31,BLR,9449321.0,46.858,40.3,0.0,11,-41,21,149,25.0,22.989019607843126,11.0,12.944117647058794,27.170261437908497,0.0,973.0,11.0,0.0,94.0,0.0,0.0,0.010297036157412792,0.00011641048071073042,0.0,0.0,0.0009947804715280599,0.0,0.0,0.0,2.3,-2.0377777777777784,-14.044444444444444,39.03333333333333,0.8222222222222222,-15.566666666666665,-20.433333333333334,-3.683599926479808,1.8948957192728733,-3.968724755620774,0,-3.9340079173671474,-3.586615119129987,-5.2294504640722215,-3.766153568804368,-3.0022727489256735,-1.98728776225702,1.3222192947339193,2.173186268412274
Belgium,BEL2020-08-31,BEL,11589616.0,375.564,41.8,0.0,68,-22,45,65,78.85,67.92418300653614,64.85,64.28784313725482,65.70228758169941,80.1470588235294,2336.0,321.0,53.0,125.0,0.0,0.0,0.020155974106476002,0.002769720756925855,0.0004573059193678203,0.0,0.0010785516966222177,0.0,1.2942620359466613e-07,3.472222222222222e-05,18.45833333333333,-35.69222222222222,-55.37777777777778,-9.111111111111107,-19.06111111111111,-50.16388888888889,-44.74722222222222,1.7334648970546325,1.2349374630696803,-1.3371140980548084,2,-2.5575640142710787,-3.8578163985318006,-4.613341513982123,-3.1937624471594863,-2.9671590336678944,-1.6955962082355889,1.6532125137753435,1.8129133566428557
Belize,BLZ2020-08-31,BLZ,397621.0,16.426,25.0,0.0,52,0,159,154,73.08,67.45326797385617,59.08,73.50202614379087,72.25777777777776,41.01307189542485,94.0,4.0,0.0,18.0,0.0,2.0,0.023640602483269244,0.0010059830843944359,0.0,0.0,0.004526923879774962,0.0005029915421972177,0.0,0.0131601084538376,17.269565217391303,-44.021506478737386,-49.69855072463768,-37.37777777777778,-25.16299559471365,-62.19636363636364,-45.671844660194175,2.445660889828365,-0.9167178734703622,-0.16600893953159535,2,-2.9974093218804083,-3.4462732597933345,-4.184650148577116,-4.3713680685030685,-2.3441968081050644,-1.6263414596086718,2.2013971243204518,2.187520720836463
Benin,BEN2020-08-31,BEN,12123198.0,99.11,18.8,0.0,34,0,123,105,61.86,53.6354248366012,47.86,51.59307189542486,56.986013071895286,35.2124183006536,139.0,3.0,0.0,35.0,0.0,1.0,0.0011465621529896648,2.4745945747978383e-05,0.0,0.0,0.0002887027003930811,8.24864858265946e-06,0.00010901688921795498,0.02395005252749969,8.379446640316205,-7.93332854864547,-15.137931034482758,2.359712230215828,-1.7305555555555556,-19.316666666666666,-5.8412017167381975,-2.1959143553996987,-0.7596766854802521,-0.7231032287793601,0,-4.606495943538844,-5.275796721214964,-3.721451089065897,-4.44098960871941,-3.5395491539082324,-2.940602398004413,2.089905111439398,2.0211892990699383
Bhutan,BTN2020-08-31,BTN,771612.0,21.188,28.6,0.0,42,0,178,0,82.05,77.27294117647097,68.05,76.67444444444433,77.56764705882362,75.65359477124183,29.0,0.0,0.0,5.0,0.0,0.0,0.0037583656034379967,0.0,0.0,0.0,0.0006479940695582754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.474479170462775,-1.0256287963643262,0.9449084155070524,0,-2.9916366030758184,-3.267944163499044,-4.081103323752658,-3.640961181587732,-3.1884289687743173,-2.42500097521138,2.1958996524092336,2.1958996524092336
Bolivia,BOL2020-08-31,BOL,11673029.0,10.202,25.4,0.0,26,0,157,157,76.92,72.40529411764709,62.92,92.1683660130718,78.32568627451005,39.869281045751634,2687.0,119.0,8.0,276.0,1.0,20.0,0.023018875392154,0.0010194440534671847,6.853405401460067e-05,8.566756751825084e-06,0.002364424863503723,0.00017133513503650167,1.4277927919708469e-05,0.014943301198862934,30.32183908045977,-66.40627136697566,-72.35746102449889,-65.31555555555556,-61.8100686498856,-76.21604938271605,-56.33222222222222,5.390606715242827,-1.3572376783843236,-0.8209987712611505,2,-3.0246200480591328,-2.709692938264097,-4.644513919732161,-3.4994649434110867,-2.6262744824031308,-1.6379158980351805,2.167317334748176,2.167317334748176
Bosnia and Herzegovina,BIH2020-08-31,BIH,3280815.0,68.49600000000001,42.5,0.0,35,0,147,147,75.0,55.404117647058705,61.0,67.44627450980401,61.24477124183007,23.284313725490197,678.0,31.0,46.0,632.0,3.0,21.0,0.0206655968105486,0.0009448871698038443,0.0014020906390637689,9.144069385198496e-05,0.01926350617148484,0.0006400848569638948,0.0,0.0,10.133333333333333,-25.608888888888888,-43.17777777777778,0.5444444444444444,-16.42222222222222,-37.13333333333333,-31.855555555555554,0.5545325252625078,0.7108214502228357,0.13419542987732533,2,-3.8942468137834063,-3.744858734820616,-4.811990402838078,-3.9400031547191503,-1.7152646636110205,-1.6847520480263425,2.1643528557844367,2.170261715394957
Botswana,BWA2020-08-31,BWA,2351625.0,4.044,25.8,0.0,1,0,146,148,75.64,61.38967320261445,61.64,65.5260784313724,61.18928104575159,62.5,254.0,3.0,0.0,23.0,0.0,1.0,0.010801041832775207,0.00012757136022962845,0.0,0.0,0.000978047095093818,4.252378674320948e-05,8.701784227218769e-05,0.002430990709842211,25.65,-28.826783300870023,-38.714285714285715,-8.764084507042254,-22.82198952879581,-45.21671826625387,-28.61683848797251,1.2435675002813416,-0.5243907843447864,-1.276573858740372,2,-3.124719646498692,-3.808944627501442,-5.191352420662686,-5.075210380510292,-3.0096402324854763,-1.9665343518831304,2.146128035678238,2.1903316981702914
