,country,PC 1,PC 2,PC 3,Class,logInterval_firstNCToMaxNC,logInterval_firstNCToMaxND
31,China,-2.6923696909712596,-1.8132364784032544,1.6196271587867883,0,1.462397997898956,2.0211892990699383
32,Colombia,4.5235092298352875,-1.767853285831526,0.11832175062625612,2,2.214843848047698,2.2278867046136734
33,Congo,-2.2824485467823608,-1.492596813265027,0.8293291867616491,0,2.0827853703164503,2.187520720836463
34,Costa Rica,2.0655792991323336,-1.016055296817025,-0.17772477419978602,2,2.24551266781415,2.187520720836463
35,Cote d'Ivoire,-3.15680925824132,-0.7656960250185324,-0.4382653109070821,0,1.9912260756924949,1.968482948553935
36,Croatia,0.3010313698360552,0.6891863133393896,0.3398929065728733,2,2.3138672203691533,1.7323937598229686
37,Cuba,-2.3633681946278737,-0.7723237053708364,1.2056627608133503,0,2.1818435879447726,1.6434526764861874
38,Cyprus,-2.6357604176626044,2.4905268668047684,2.513617735227893,1,1.3617278360175928,1.1760912590556813
39,Czech Republic,-3.2059514622421688,1.4148448946636278,1.2389869487923424,0,2.2405492482826,1.6434526764861874
40,Democratic Republic of Congo,-2.9598288680290317,-1.2443841437408971,0.2652664079232566,0,2.0293837776852097,1.8195439355418688
41,Denmark,-1.3479489887920773,3.348919789532716,0.7130038332316825,1,1.5563025007672873,1.5797835966168101
42,Djibouti,-2.8543042277197617,2.1497115362938453,2.013141557262444,0,1.7993405494535817,1.8325089127062364
43,Dominican Republic,3.2380162291671297,0.18329480258472974,-0.7625899021780793,2,2.123851640967086,1.6232492903979006
44,Ecuador,5.051380330971196,0.6197675930868796,-0.888608531865234,2,1.6532125137753437,1.8512583487190752
45,Egypt,0.4945191023070458,-0.7343898890728976,-0.9723406135823952,2,1.9867717342662448,2.0863598306747484
46,El Salvador,5.074696773719633,-1.5902481411589666,-0.21204861292531127,2,2.1931245983544616,2.146128035678238
48,Estonia,-1.437043701957252,3.1763700435669713,-1.6321887219859497,1,1.1760912590556813,1.5440680443502757
49,Ethiopia,-2.4909119387339937,-2.5719036264190005,1.9022424270091909,0,2.2013971243204513,2.155336037465062
50,Fiji,-0.16994881510127202,-0.2842406049134665,0.2599887499634827,0,1.380211241711606,2.1271047983648077
51,Finland,-1.44057036224652,1.849778111246769,-2.6536430497899577,0,1.5797835966168101,1.919078092376074
52,France,2.394852860418126,1.2914611870903316,-2.3150803673340135,2,1.5563025007672873,1.845098040014257
53,Gabon,0.9970554648121336,-0.6159513703743978,-0.15075730057836156,2,1.9777236052888478,2.0086001717619175
54,Gambia,-2.8910479976265955,-2.175037472496436,3.10054051833008,0,2.1903316981702914,2.1903316981702914
55,Georgia,1.146058339401983,0.0042686298208238545,-0.8984468185245641,2,1.8195439355418688,1.591064607026499
56,Germany,-0.946642727830688,0.34685930654128033,-0.05920220831872061,0,1.7853298350107671,1.8976270912904414
57,Ghana,-0.11402767373956915,-1.080237909015132,-0.9399086731323804,2,2.146128035678238,2.0
58,Greece,0.33685292151021584,0.9002522754814706,-0.9492799689507148,2,2.2430380486862944,1.5797835966168101
59,Guam,-2.337659843794228,2.0814235854918546,5.859051893474464,1,2.2068258760318495,1.1139433523068367
60,Guatemala,3.3112070622464262,-1.5001271598670731,-0.07777547162872474,2,2.100370545117563,2.1367205671564067
61,Guinea,-3.2266936914323123,-1.2050916280231971,-0.17316016564993164,0,1.8388490907372552,1.7853298350107671
62,Guyana,-2.0373340601365166,-1.6054073674699034,1.6330113603766767,0,2.220108088040055,2.2278867046136734
63,Haiti,0.019507504733293688,-0.5697763180507498,-0.9816048397728908,2,1.8920946026904804,2.0530784434834195
64,Honduras,4.442665359032064,-1.4483202768808487,0.007075231810662276,2,2.225309281725863,2.225309281725863
65,Hungary,-0.3883612098058247,0.8828305049912346,-0.13489408896995345,0,2.255272505103306,1.6989700043360187
66,Iceland,-2.8881394855682183,7.175629590455806,2.824023865048797,1,1.3979400086720377,1.5314789170422551
67,India,1.3252596602734308,-2.8879106360104965,1.4256854812828341,2,2.326335860928751,2.143014800254095
68,Indonesia,-0.4186986018034747,-2.332648048976252,1.1240239639351035,0,2.3201462861110542,2.155336037465062
