location,primary_key_reaction,iso_code,minDate,maxDate,maxValue,changeGovResp,ramp_up_duration,population,population_density,median_age,newCases_startDate,CaseVsResp_Interval,AvgMaxGovResp_StartApr1,MaxNewCases_date,MaxNewCases_value,StartToMaxNewCases_Interval,MaxNewDeaths_date,MaxNewDeaths_value,MaxNewCasesToMaxNewDeaths_Interval,FirstNewCaseToMaxNewDeaths,3mth_date,newCases_3mnth,totCases_3mnth,newDeaths_3mnth,totDeaths_3mnth,gdp_per_capita,StringencyIndex_updated,ContainmentHealthIndex_updated,EconomicSupportIndex_updated,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,avgOutdoorMobil
Brunei,BRN2020-08-31,BRN,2020-03-10,2020-04-11,51.28,37.28,32 days 00:00:00.000000000,437483.0,81.347,32.4,2020-03-10,0 days 00:00:00.000000000,44.66647058823523,2020-03-13,14.0,3 days 00:00:00.000000000,2020-03-29,1.0,16 days 00:00:00.000000000,19 days 00:00:00.000000000,2020-04-09,0.0,135.0,0.0,1.0,,48.77581699346396,50.515424836601326,12.5,,,,,,,
Bulgaria,BGR2020-08-31,BGR,2020-03-08,2020-04-29,74.36,60.36,52 days 00:00:00.000000000,6948445.0,65.18,44.7,2020-03-08,0 days 00:00:00.000000000,52.57673202614377,2020-08-27,365.0,172 days 00:00:00.000000000,2020-08-27,23.0,0 days 00:00:00.000000000,172 days 00:00:00.000000000,2020-04-07,18.0,549.0,2.0,22.0,,47.386797385620916,49.22745098039216,70.9967320261438,-35.08869272803699,-13.50785123966942,-5.3936170212765955,-36.79003558718861,-27.89080459770115,9.71585298957762,-23.734200234774555
Burkina Faso,BFA2020-08-31,BFA,2020-03-12,2020-05-04,72.44,58.44,53 days 00:00:00.000000000,20903278.0,70.15100000000001,17.6,2020-03-11,-1 days +00:00:00.000000000,50.52895424836606,2020-04-06,43.0,25 days 00:00:00.000000000,2020-03-29,6.0,-8 days +00:00:00.000000000,18 days 00:00:00.000000000,2020-04-10,29.0,443.0,1.0,24.0,,58.17052287581688,59.71359477124179,0.0,-18.35185185185185,-10.607407407407408,-17.005555555555556,-28.825925925925926,-6.050377833753148,11.63679245283019,-16.16822371489878
Burundi,BDI2020-08-31,BDI,2020-04-01,2020-04-14,33.33,19.33,13 days 00:00:00.000000000,11890781.0,423.062,17.5,2020-04-01,0 days 00:00:00.000000000,26.477777777777792,2020-06-21,40.0,81 days 00:00:00.000000000,2020-04-15,1.0,-67 days +00:00:00.000000000,14 days 00:00:00.000000000,2020-05-01,0.0,15.0,0.0,1.0,,26.869346405228754,31.294248366013075,0.0,,,,,,,
Cambodia,KHM2020-08-31,KHM,2020-03-13,2020-04-09,53.85,39.85,27 days 00:00:00.000000000,16718971.0,90.672,25.6,2020-01-28,-45 days +00:00:00.000000000,43.59588235294136,2020-03-23,35.0,10 days 00:00:00.000000000,2020-01-01,0.0,-82 days +00:00:00.000000000,-27 days +00:00:00.000000000,2020-02-27,0.0,1.0,0.0,0.0,,48.10705882352947,46.9359477124184,25.245098039215694,-23.836279069767443,-16.551362683438157,-16.62748344370861,-41.254927726675426,-17.530467899891185,10.337228714524207,-23.16010416469617
Cameroon,CMR2020-08-31,CMR,2020-03-18,2020-04-18,58.33,44.33,31 days 00:00:00.000000000,26545864.0,50.885,18.8,2020-03-07,-11 days +00:00:00.000000000,55.280065359477035,2020-07-06,1119.0,110 days 00:00:00.000000000,2020-06-13,59.0,-23 days +00:00:00.000000000,98 days 00:00:00.000000000,2020-04-06,95.0,650.0,0.0,9.0,,62.59137254901948,61.617777777778,20.424836601307188,-19.66216216216216,-9.502912621359224,-19.053627760252365,-18.11744966442953,-6.548518896833504,9.480825958702065,-14.576934221007354
Canada,CAN2020-08-31,CAN,2020-03-11,2020-04-01,74.68,60.68000000000001,21 days 00:00:00.000000000,37742157.0,4.037,41.4,2020-01-26,-45 days +00:00:00.000000000,71.89444444444429,2020-05-04,2760.0,54 days 00:00:00.000000000,2020-06-01,222.0,28 days 00:00:00.000000000,127 days 00:00:00.000000000,2020-02-25,2.0,11.0,0.0,0.0,,69.35052287581686,71.3295424836602,75.0,-36.048269581056466,-10.596928982725528,30.545964125560538,-52.20803295571576,-40.04132901134522,15.445482866043614,-21.66971928105649
Cape Verde,CPV2020-08-31,CPV,2020-03-21,2020-05-18,81.73,67.73,58 days 00:00:00.000000000,555988.0,135.58,25.7,2020-03-21,0 days 00:00:00.000000000,77.40013071895397,2020-07-13,107.0,114 days 00:00:00.000000000,2020-07-01,3.0,-12 days +00:00:00.000000000,102 days 00:00:00.000000000,2020-04-20,3.0,61.0,0.0,1.0,,76.64091503267974,77.8363398692809,75.0,-56.60797342192691,-35.52301255230125,-55.69117647058823,-75.21,-44.90277777777778,20.845070422535212,-53.58698804451883
Central African Republic,CAF2020-08-31,CAF,2020-03-26,2020-05-08,62.82,48.82,43 days 00:00:00.000000000,4829764.0,7.479,18.3,2020-03-16,-10 days +00:00:00.000000000,54.51313725490197,2020-06-09,216.0,75 days 00:00:00.000000000,2020-06-23,7.0,14 days 00:00:00.000000000,99 days 00:00:00.000000000,2020-04-15,0.0,11.0,0.0,0.0,,64.8572549019607,59.87980392156866,25.0,,,,,,,
Chad,TCD2020-08-31,TCD,2020-03-20,2020-04-13,75.64,61.64,24 days 00:00:00.000000000,16425859.0,11.833,16.7,2020-03-20,0 days 00:00:00.000000000,64.13928104575153,2020-05-08,83.0,49 days 00:00:00.000000000,2020-05-08,10.0,0 days 00:00:00.000000000,49 days 00:00:00.000000000,2020-04-19,0.0,33.0,0.0,0.0,,70.78549019607833,66.71019607843137,50.0,,,,,,,
Chile,CHL2020-08-31,CHL,2020-03-15,2020-07-03,86.22,72.22,110 days 00:00:00.000000000,19116209.0,24.282,35.4,2020-03-04,-11 days +00:00:00.000000000,77.60065359477122,2020-06-18,36179.0,95 days 00:00:00.000000000,2020-07-18,1057.0,30 days 00:00:00.000000000,136 days 00:00:00.000000000,2020-04-03,373.0,3404.0,2.0,18.0,,80.18967320261423,80.76156862745087,60.2124183006536,-60.14248366013072,-39.37843137254902,-62.59934640522876,-60.183660130718955,-36.16928104575163,21.244982698961937,-51.69464052287581
China,CHN2020-08-31,CHN,2020-01-15,2020-05-21,77.88,63.879999999999995,127 days 00:00:00.000000000,1439323774.0,147.674,38.7,2020-01-03,-12 days +00:00:00.000000000,72.3137254901959,2020-02-13,15141.0,29 days 00:00:00.000000000,2020-04-17,1290.0,64 days 00:00:00.000000000,105 days 00:00:00.000000000,2020-02-02,2590.0,14399.0,45.0,304.0,,75.89483660130722,80.2822875816991,28.513071895424837,,,,,,,
Colombia,COL2020-08-31,COL,2020-03-09,2020-04-27,87.18,73.18,49 days 00:00:00.000000000,50882884.0,44.223,32.2,2020-03-07,-2 days +00:00:00.000000000,84.49751633986952,2020-08-20,13056.0,164 days 00:00:00.000000000,2020-08-23,400.0,3 days 00:00:00.000000000,169 days 00:00:00.000000000,2020-04-06,79.0,1485.0,3.0,35.0,13254.948999999999,87.15411764705914,86.39509803921581,74.01960784313725,-64.51983218916857,-44.93460076045628,-55.78449774070212,-64.8840830449827,-43.1741592920354,22.396500213401623,-54.659434605469016
Congo,COG2020-08-31,COG,2020-03-19,2020-03-31,85.26,71.26,12 days 00:00:00.000000000,5518092.0,15.405,19.0,2020-03-16,-3 days +00:00:00.000000000,72.7302614379085,2020-07-18,275.0,121 days 00:00:00.000000000,2020-08-17,16.0,30 days 00:00:00.000000000,154 days 00:00:00.000000000,2020-04-15,4.0,74.0,0.0,5.0,,79.12758169934641,72.31424836601296,75.0,,,,,,,
Costa Rica,CRI2020-08-31,CRI,2020-03-07,2020-04-27,74.36,60.36,51 days 00:00:00.000000000,5094114.0,96.079,33.6,2020-03-07,0 days 00:00:00.000000000,66.30222222222226,2020-08-30,1214.0,176 days 00:00:00.000000000,2020-08-08,18.0,-22 days +00:00:00.000000000,154 days 00:00:00.000000000,2020-04-06,19.0,454.0,0.0,2.0,,72.09477124183003,69.50222222222237,48.692810457516345,-46.18888888888889,-25.7,-50.27777777777778,-49.34444444444444,-32.355555555555554,17.511111111111113,-40.773333333333326
Cote d'Ivoire,CIV2020-08-31,CIV,2020-03-16,2020-03-31,68.59,54.59,15 days 00:00:00.000000000,26378275.0,76.399,18.7,2020-03-12,-4 days +00:00:00.000000000,57.649411764705896,2020-06-22,618.0,98 days 00:00:00.000000000,2020-06-13,4.0,-9 days +00:00:00.000000000,93 days 00:00:00.000000000,2020-04-11,36.0,480.0,0.0,3.0,,58.36215686274507,59.752745098039156,46.07843137254902,,,,,,,
