,country,PC 1,PC 2,PC 3,Class,logPercent_maxNC,logPercent_TC_3mnth
45,Egypt,0.4945191023070458,-0.7343898890728976,-0.9723406135823952,2,-2.761068044817871,-3.9686289751553536
46,El Salvador,5.074696773719633,-1.5902481411589666,-0.21204861292531127,2,-2.153025560173643,-2.5640171364762714
47,Eritrea,-3.1352364862841684,-1.4392825868368613,1.579520889757157,0,-3.0584293308822184,-2.9587264176899915
48,Estonia,-1.437043701957252,3.1763700435669713,-1.6321887219859497,1,-1.995615224318269,-1.3165400486991892
49,Ethiopia,-2.4909119387339937,-2.5719036264190005,1.9022424270091909,0,-2.7983465852523945,-4.209301942009736
50,Fiji,-0.16994881510127202,-0.2842406049134665,0.2599887499634827,0,-3.2535531604482846,-2.7220742434060297
51,Finland,-1.44057036224652,1.849778111246769,-2.6536430497899577,0,-2.317054785535902,-4.266444792180815
52,France,2.394852860418126,1.2914611870903316,-2.3150803673340135,2,-1.93518237932537,-4.735555734216719
53,Gabon,0.9970554648121336,-0.6159513703743978,-0.15075730057836156,2,-1.5915972336537652,-2.6572760092977425
54,Gambia,-2.8910479976265955,-2.175037472496436,3.10054051833008,0,-1.7641229420028268,-3.428973763190245
55,Georgia,1.146058339401983,0.0042686298208238545,-0.8984468185245641,2,-2.967414633091061,-2.692398069791998
56,Germany,-0.946642727830688,0.34685930654128033,-0.05920220831872061,0,-2.1242340668559123,-4.600941510699195
57,Ghana,-0.11402767373956915,-1.080237909015132,-0.9399086731323804,2,-2.312543488303482,-2.8817222532367888
58,Greece,0.33685292151021584,0.9002522754814706,-0.9492799689507148,2,-2.5511274507545143,-2.03301794469313
59,Guam,-2.337659843794228,2.0814235854918546,5.859051893474464,1,-1.0937897935284715,-1.0937897935284715
60,Guatemala,3.3112070622464262,-1.5001271598670731,-0.07777547162872474,2,-1.626582288994603,-3.0305140863210305
61,Guinea,-3.2266936914323123,-1.2050916280231971,-0.17316016564993164,0,-2.8087268984420812,-2.720417057195942
62,Guyana,-2.0373340601365166,-1.6054073674699034,1.6330113603766767,0,-1.8745420056559285,-2.242518790950523
63,Haiti,0.019507504733293688,-0.5697763180507498,-0.9816048397728908,2,-2.603682997756722,-3.4135486613175723
64,Honduras,4.442665359032064,-1.4483202768808487,0.007075231810662276,2,-1.927651430162148,-2.402551224887852
65,Hungary,-0.3883612098058247,0.8828305049912346,-0.13489408896995345,0,-2.5196100099893375,-2.153763167570692
66,Iceland,-2.8881394855682183,7.175629590455806,2.824023865048797,1,-1.5374374654512626,-0.5244724882868949
67,India,1.3252596602734308,-2.8879106360104965,1.4256854812828341,2,-2.2435692448040663,-6.662759211665834
68,Indonesia,-0.4186986018034747,-2.332648048976252,1.1240239639351035,0,-2.9174293362861725,-3.2528714829270107
69,Iran,-2.659835247263519,1.448631031984287,1.9181699105850465,0,-2.202020386358853,-1.631012924869017
70,Iraq,0.8571907580320062,-2.288934677747002,1.1717899784919672,2,-1.9439830769617052,-3.0653929939538966
71,Ireland,2.147419239755259,3.7693704517851017,1.1238872690098325,1,-1.6257186323716166,-1.2296401545475495
72,Israel,1.5510391720810404,-0.4126256848801435,0.859232689950159,2,-1.5390069125468915,-1.9075047470724371
73,Italy,2.460760542942245,0.8905360290894683,-1.0374613151385352,2,-1.964776089812259,-2.729172173831451
74,Jamaica,2.1722625063481837,-1.1636339554520383,-0.5056211823444565,2,-2.0840721945293668,-2.6585486642252407
75,Japan,-2.165204276863678,0.705637656666418,-1.4289971288779708,0,-2.7873000016303124,-4.624888439865824
76,Jordan,1.9754851205954107,-0.4012821695584155,-2.092482871386844,2,-3.122243120590981,-2.5646890498453865
77,Kazakhstan,1.7014005825499774,-1.4400316250088183,1.7800218615778138,2,-0.9892789479454999,-2.2021056243085075
78,Kenya,0.6225040739844027,-1.9714771327939884,0.4421392420818809,2,-2.748279303270201,-3.4360843101481766
79,Kuwait,3.1077361401555867,-0.7212438897173726,-0.5354407550045651,2,-1.5998854110627116,-2.3494517657809353
80,Kyrgyzstan,3.3638268867991536,0.0123775904388802,2.436846898831205,2,-0.7536400438074479,-2.110376149972311
81,Laos,-1.2291465024336292,0.8427655332186584,-2.124110341042856,0,-4.259806196502517,-3.5831125868776503
82,Latvia,-1.006126269508028,2.2852624114676234,-0.7225527338762131,0,-2.4243298522949885,-1.6262533423019219
83,Lebanon,1.1284688475216842,-1.1175435796395126,-0.576588045792359,2,-1.8298094067573278,-2.439679099713754
84,Lesotho,-3.0667359744660248,-0.7928421448610208,0.1955749242056672,0,-2.339644481266539,-3.728810565631071
85,Liberia,-2.8211098117104667,-1.7972167464501914,0.4496808672068594,0,-3.0507385766350112,-2.933099078768211
86,Libya,0.2496582514698677,-1.88952196174788,0.4106793098280903,2,-1.9122420927391008,-3.0588868381533696
87,Lithuania,-1.1900465191954186,2.57500227349031,-1.6021892985353383,0,-2.3485747166948814,-1.8394383255440556
